,tweet_id,completeness,likes,replies,retweets,views,supportive,hostile,sarcastic,ambivalent,nationalist,anti_elite,fearful,optimistic,skeptical,disengaged
count,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0
mean,1.8400463269254671e+18,1.0,102.15865384615384,6.3701923076923075,19.927884615384617,386.125,0.2528846153846154,0.13317307692307695,0.022596153846153846,0.01201923076923077,0.11875,0.02403846153846154,0.040865384615384616,0.058653846153846154,0.020673076923076926,0.008173076923076924
std,86285655449047.9,0.0,564.4159383991137,45.12058428846957,90.9006974848543,964.0655127126644,0.3742836586781135,0.25895652526430035,0.07688997336752892,0.06593628615026391,0.24353351900555098,0.08512019612833402,0.13192451784832565,0.14881858548616103,0.09683657654352709,0.06724767723053539
min,1.8399715102592492e+18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.839972010772858e+18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1.8399721776107277e+18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.840145860304466e+18,1.0,12.25,1.0,8.0,138.0,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
max,1.840145860304466e+18,1.0,6286.0,609.0,988.0,5124.0,1.0,1.0,0.5,0.5,0.9,0.7,0.9,0.9,0.8,0.8
